Country,ISO2,ISO3,Indicator,Unit,Source,CTS Code,CTS Name,CTS Full Descriptor,Industry,Scale,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Indonesia,ID,IDN,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o); Access Date: 04-03-2022",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions",Land transport and transport via pipelines,Units,4.836,5.326,5.141,4.331,4.177,4.68,6.062,6.293,7.797,9.014,9.161,10.217,11.751,16.224,19.741,17.988,23.164,23.032,20.69,21.876,18.317,18.415,19.742,22.84
Indonesia,ID,IDN,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o); Access Date: 04-03-2022",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions",Machinery and equipment n.e.c.,Units,0.029,0.028,0.03,0.022,0.029,0.027,0.03,0.034,0.043,0.06,0.063,0.081,0.086,0.117,0.133,0.114,0.2,0.266,0.336,0.493,0.62,0.765,0.911,1.007
Indonesia,ID,IDN,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o); Access Date: 04-03-2022",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions",Manufacturing nec; repair and installation of machinery and equipment,Units,6.807,6.7,7.462,6.98,9.875,8.443,7.872,7.768,11.335,10.491,12.17,16.568,17.254,12.152,14.305,22.404,24.72,18.612,9.23,11.06,11.453,6.964,8.52,9.274
Indonesia,ID,IDN,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o); Access Date: 04-03-2022",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions","Mining and quarrying, energy producing products",Units,28.181,28.063,30.192,40.627,31.47,19.925,23.294,28.725,32.183,27.092,25.091,24.722,21.777,22.007,23.18,23.874,23.167,19.206,19.24,20.245,21.579,23.313,20.451,24.746
Indonesia,ID,IDN,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o); Access Date: 04-03-2022",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions","Mining and quarrying, non-energy producing products",Units,4.117,3.799,3.934,3.466,3.422,3.194,3.035,3.007,2.987,4.78,4.4,3.968,3.659,3.836,4.185,3.862,4.66,5.749,5.573,5.288,5.756,3.86,3.792,3.486
Indonesia,ID,IDN,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o); Access Date: 04-03-2022",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions",Mining support service activities,Units,0.445,0.454,0.479,0.421,0.456,0.389,0.416,0.455,0.448,0.753,0.615,0.519,0.482,0.49,0.527,0.447,0.635,0.805,0.744,0.688,0.823,0.518,0.498,0.435
Indonesia,ID,IDN,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o); Access Date: 04-03-2022",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions","Motor vehicles, trailers and semi-trailers",Units,0.025,0.032,0.035,0.03,0.033,0.047,0.048,0.042,0.04,0.04,0.047,0.043,0.068,0.09,0.133,0.176,0.202,0.212,0.202,0.178,0.134,0.09,0.099,0.11
Indonesia,ID,IDN,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o); Access Date: 04-03-2022",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions",Other non-metallic mineral products,Units,4.01,4.109,4.431,4.291,5.054,9.214,15.557,13.877,14.26,17.193,15.643,15.743,18.871,20.059,20.213,18.205,18.423,18.758,18.07,18.768,19.181,24.163,30.512,40.542
Indonesia,ID,IDN,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o); Access Date: 04-03-2022",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions",Other service activities,Units,0.075,0.077,0.08,0.078,0.087,0.114,0.131,0.127,0.121,0.133,0.129,0.12,0.125,0.135,0.147,0.148,0.2,0.284,0.324,0.351,0.334,0.353,0.345,0.333
Indonesia,ID,IDN,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o); Access Date: 04-03-2022",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions",Other transport equipment,Units,0.061,0.075,0.072,0.049,0.056,0.05,0.054,0.064,0.069,0.085,0.103,0.052,0.054,0.046,0.036,0.053,0.074,0.101,0.109,0.114,0.126,0.116,0.139,0.156
